health_post,hp_name,lon,lat
HP040112-01,Yubdo 1 Health Post,35.46421,8.94348
HP040112-02,Yubdo 2 Health Post,35.36583,8.98361
HP040112-03,Yubdo 3 Health Post,35.46394,8.93517
HP040112-04,Yubdo 4 Health Post,35.44288,8.94023
HP040112-05,Yubdo 5 Health Post,35.53615,8.94063
HP040112-06,Yubdo 6 Health Post,35.49619,8.907
HP040112-07,Yubdo 7 Health Post,35.38733,8.95495
HP040204-01,Haro Limu 1 Health Post,36.15995,9.80127
HP040204-02,Haro Limu 2 Health Post,36.33321,9.58561
HP040204-03,Haro Limu 3 Health Post,36.28799,10.09563
HP040204-04,Haro Limu 4 Health Post,36.23802,9.7136
HP040204-05,Haro Limu 5 Health Post,36.1709,9.84891
HP040204-06,Haro Limu 6 Health Post,36.25404,9.67858
HP040205-01,Boneya Boshe 1 Health Post,36.92647,8.94379
HP040205-02,Boneya Boshe 2 Health Post,37.18737,8.90298
HP040205-03,Boneya Boshe 3 Health Post,36.97089,8.92948
HP040205-04,Boneya Boshe 4 Health Post,36.99872,8.95166
HP040205-05,Boneya Boshe 5 Health Post,37.0753,8.88171
HP040212-01,Leka Dulecha 1 Health Post,36.59846,8.94667
HP040212-02,Leka Dulecha 2 Health Post,36.30084,8.91462
HP040212-03,Leka Dulecha 3 Health Post,36.34686,8.93482
HP040216-01,Wama Hagalo 1 Health Post,36.96733,8.67392
HP040216-02,Wama Hagalo 2 Health Post,36.86383,8.84908
HP040216-03,Wama Hagalo 3 Health Post,36.9373,8.82544
HP040216-04,Wama Hagalo 4 Health Post,36.86586,8.70186
HP040216-05,Wama Hagalo 5 Health Post,36.80432,8.81953
HP040302-01,Alge Sachi 1 Health Post,35.58169,8.58754
HP040302-02,Alge Sachi 2 Health Post,8.56847,35.62828
HP040302-03,Alge Sachi 3 Health Post,35.89744,8.63665
HP040302-04,Alge Sachi 4 Health Post,8.48676,35.6164
HP040302-05,Alge Sachi 5 Health Post,35.58571,8.60005
HP040302-06,Alge Sachi 6 Health Post,35.72665,8.61388
HP040302-07,Alge Sachi 7 Health Post,35.70537,8.53906
HP040324-01,Dorani 1 Health Post,35.97675,8.45595
HP040324-02,Dorani 2 Health Post,35.68521,8.49305
HP040324-03,Dorani 3 Health Post,35.72835,8.49046
HP040324-04,Dorani 4 Health Post,35.88151,8.42715
HP040324-05,Dorani 5 Health Post,35.89317,8.48337
HP040410-01,Dedo 1 Health Post,36.80565,7.44991
HP040410-02,Dedo 2 Health Post,36.84081,7.4616
HP040410-03,Dedo 3 Health Post,36.75468,7.50341
HP040412-01,Sigmo 1 Health Post,35.89659,7.80938
HP040412-02,Sigmo 2 Health Post,35.98648,7.99219
HP040412-03,Sigmo 3 Health Post,35.98178,7.85846
HP040412-04,Sigmo 4 Health Post,35.90522,7.89995
HP040412-05,Sigmo 5 Health Post,35.9532,7.78421
HP040412-06,Sigmo 6 Health Post,36.03355,7.96886
HP040412-07,Sigmo 7 Health Post,36.06455,8.02669
HP040417-01,Agaro town 1 Health Post,36.56589,7.86971
HP040417-02,Agaro town 2 Health Post,36.56973,7.86765
HP040417-03,Agaro town 3 Health Post,36.58809,7.84123
HP040417-04,Agaro town 4 Health Post,36.56561,7.8533
HP040417-05,Agaro town 5 Health Post,36.61101,7.84222
HP040417-06,Agaro town 6 Health Post,36.59153,7.87663
HP040418-01,Jimma town 1 Health Post,36.87717,7.68535
HP040418-02,Jimma town 2 Health Post,36.83262,7.64206
HP040418-03,Jimma town 3 Health Post,36.86792,7.65784
HP040418-04,Jimma town 4 Health Post,36.83907,7.62827
HP040418-05,Jimma town 5 Health Post,36.83018,7.68862
HP040418-06,Jimma town 6 Health Post,36.84601,7.67522
HP040501-01,Ginde Beret 1 Health Post,37.84011,9.74212
HP040501-02,Ginde Beret 2 Health Post,37.6799,9.59056
HP040501-03,Ginde Beret 3 Health Post,37.74642,9.59957
HP040504-01,Mida Kegn 1 Health Post,37.62656,9.26957
HP040504-02,Mida Kegn 2 Health Post,37.60742,9.32284
HP040504-03,Mida Kegn 3 Health Post,37.60602,9.07543
HP040504-04,Mida Kegn 4 Health Post,37.64522,9.06531
HP040511-01,Ejere /Addis Alem 1 Health Post,38.28876,9.18584
HP040511-02,Ejere /Addis Alem 2 Health Post,35.5544,8.91621
HP040511-03,Ejere /Addis Alem 3 Health Post,38.3967,9.18005
HP040511-04,Ejere /Addis Alem 4 Health Post,38.38465,9.19965
HP040511-05,Ejere /Addis Alem 5 Health Post,38.36441,9.14803
HP040511-06,Ejere /Addis Alem 6 Health Post,38.26032,8.94721
HP040511-07,Ejere /Addis Alem 7 Health Post,38.34751,9.16256
HP040594-01,Meta Walkite 1 Health Post,38.24537,9.6366
