woreda_pcode,woreda_name,year,total_pop,pop_under2,pop_under5
ET040112,Yubdo,2019,139000,9471,20933
ET040112,Yubdo,2020,142475,8884,22187
ET040112,Yubdo,2021,146037,11099,22203
ET040112,Yubdo,2022,149688,10537,22339
ET040112,Yubdo,2023,153430,10212,24745
ET040112,Yubdo,2024,157266,11538,23811
ET040204,Haro Limu,2019,68000,4445,10323
ET040204,Haro Limu,2020,69700,4837,11618
ET040204,Haro Limu,2021,71442,5217,11334
ET040204,Haro Limu,2022,73229,5377,11069
ET040204,Haro Limu,2023,75059,5564,12129
ET040204,Haro Limu,2024,76936,5793,12815
ET040205,Boneya Boshe,2019,117000,8010,18499
ET040205,Boneya Boshe,2020,119925,9072,17924
ET040205,Boneya Boshe,2021,122923,8919,19330
ET040205,Boneya Boshe,2022,125996,7871,20046
ET040205,Boneya Boshe,2023,129146,9435,19242
ET040205,Boneya Boshe,2024,132375,9129,20896
ET040212,Leka Dulecha,2019,106000,7663,16687
ET040212,Leka Dulecha,2020,108650,7057,17755
ET040212,Leka Dulecha,2021,111366,7411,16578
ET040212,Leka Dulecha,2022,114150,8036,17149
ET040212,Leka Dulecha,2023,117004,8696,19775
ET040212,Leka Dulecha,2024,119929,8181,17762
ET040216,Wama Hagalo,2019,81000,5037,12295
ET040216,Wama Hagalo,2020,83025,5611,13300
ET040216,Wama Hagalo,2021,85101,6271,13736
ET040216,Wama Hagalo,2022,87228,6646,13614
ET040216,Wama Hagalo,2023,89409,6483,14731
ET040216,Wama Hagalo,2024,91644,5733,14190
ET040302,Alge Sachi,2019,35000,2719,5602
ET040302,Alge Sachi,2020,35875,2681,5862
ET040302,Alge Sachi,2021,36772,2635,6246
ET040302,Alge Sachi,2022,37691,2648,5646
ET040302,Alge Sachi,2023,38633,2731,5902
ET040302,Alge Sachi,2024,39599,2732,6467
ET040324,Dorani,2019,79000,6016,12965
ET040324,Dorani,2020,80975,6149,12093
ET040324,Dorani,2021,82999,6166,12611
ET040324,Dorani,2022,85074,6060,12690
ET040324,Dorani,2023,87201,6102,14963
ET040324,Dorani,2024,89381,6579,14377
ET040410,Dedo,2019,70000,4891,11627
ET040410,Dedo,2020,71750,5140,11891
ET040410,Dedo,2021,73544,5213,11530
ET040410,Dedo,2022,75382,5551,12418
ET040410,Dedo,2023,77267,4966,12889
ET040410,Dedo,2024,79199,5335,11773
ET040412,Sigmo,2019,116000,8847,17513
ET040412,Sigmo,2020,118900,9076,19039
ET040412,Sigmo,2021,121872,8131,20770
ET040412,Sigmo,2022,124919,9575,18826
ET040412,Sigmo,2023,128042,8724,19331
ET040412,Sigmo,2024,131243,9600,20616
ET040417,Agaro town,2019,89000,6592,13300
ET040417,Agaro town,2020,91225,5912,14483
ET040417,Agaro town,2021,93506,6313,14912
ET040417,Agaro town,2022,95843,6041,14411
ET040417,Agaro town,2023,98239,6812,16431
ET040417,Agaro town,2024,100695,7309,16659
ET040418,Jimma town,2019,92000,7083,14710
ET040418,Jimma town,2020,94300,6738,15731
ET040418,Jimma town,2021,96657,6399,14824
ET040418,Jimma town,2022,99074,6959,16020
ET040418,Jimma town,2023,101551,6963,17175
ET040418,Jimma town,2024,104090,7227,17754
ET040501,Ginde Beret,2019,79000,6078,13573
ET040501,Ginde Beret,2020,80975,5412,13004
ET040501,Ginde Beret,2021,82999,5632,12334
ET040501,Ginde Beret,2022,85074,6362,13144
ET040501,Ginde Beret,2023,87201,5811,14851
ET040501,Ginde Beret,2024,89381,6378,14579
ET040504,Mida Kegn,2019,100000,7163,15562
ET040504,Mida Kegn,2020,102500,7987,15815
ET040504,Mida Kegn,2021,105062,7741,17659
ET040504,Mida Kegn,2022,107689,8029,16308
ET040504,Mida Kegn,2023,110381,7298,16427
ET040504,Mida Kegn,2024,113141,8357,17861
ET040511,Ejere /Addis Alem,2019,99000,6843,15596
ET040511,Ejere /Addis Alem,2020,101475,6720,15262
ET040511,Ejere /Addis Alem,2021,104012,7199,15815
ET040511,Ejere /Addis Alem,2022,106612,7353,18118
ET040511,Ejere /Addis Alem,2023,109277,7068,16991
ET040511,Ejere /Addis Alem,2024,112009,7376,17396
ET040594,Meta Walkite,2019,35000,2454,5298
ET040594,Meta Walkite,2020,35875,2265,5784
ET040594,Meta Walkite,2021,36772,2842,6011
ET040594,Meta Walkite,2022,37691,2438,5753
ET040594,Meta Walkite,2023,38633,2897,6541
ET040594,Meta Walkite,2024,39599,2699,6460
ET040603,Hidabu Abote,2019,202000,13276,31402
ET040603,Hidabu Abote,2020,207050,13347,35430
ET040603,Hidabu Abote,2021,212226,15323,33497
ET040603,Hidabu Abote,2022,217532,16166,36101
ET040603,Hidabu Abote,2023,222970,15259,33712
ET040603,Hidabu Abote,2024,228544,17216,39141
ET040613,Fiche town,2019,145000,9999,24384
ET040613,Fiche town,2020,148625,9798,24046
ET040613,Fiche town,2021,152341,11416,25153
ET040613,Fiche town,2022,156149,10409,23663
ET040613,Fiche town,2023,160053,11787,23914
ET040613,Fiche town,2024,164054,10293,24571
ET040617,Aleltu,2019,121000,9096,20611
ET040617,Aleltu,2020,124025,7907,20010
ET040617,Aleltu,2021,127126,9258,19184
ET040617,Aleltu,2022,130304,8156,19728
ET040617,Aleltu,2023,133561,8733,20236
ET040617,Aleltu,2024,136900,9288,21401
ET040622,Mule,2019,77000,5155,11526
ET040622,Mule,2020,78925,6037,12872
ET040622,Mule,2021,80898,5161,12199
ET040622,Mule,2022,82921,5562,13751
ET040622,Mule,2023,84994,6265,13321
ET040622,Mule,2024,87118,6533,14708
ET040703,Adama,2019,150000,11491,24731
ET040703,Adama,2020,153750,10502,23240
ET040703,Adama,2021,157594,9903,24226
ET040703,Adama,2022,161534,11016,24621
ET040703,Adama,2023,165572,11674,26178
ET040703,Adama,2024,169711,12145,25946
ET040704,Lome (OR),2019,95000,6948,14947
ET040704,Lome (OR),2020,97375,6091,15572
ET040704,Lome (OR),2021,99809,6848,16878
ET040704,Lome (OR),2022,102305,7546,16913
ET040704,Lome (OR),2023,104862,6844,18008
ET040704,Lome (OR),2024,107484,6767,16093
ET040708,Adama Tulu Jido Kombolche,2019,102000,6578,15445
ET040708,Adama Tulu Jido Kombolche,2020,104550,6630,17713
ET040708,Adama Tulu Jido Kombolche,2021,107164,8187,18359
ET040708,Adama Tulu Jido Kombolche,2022,109843,7679,17682
ET040708,Adama Tulu Jido Kombolche,2023,112589,7730,19321
ET040708,Adama Tulu Jido Kombolche,2024,115404,8301,19349
ET040710,Bora (OR),2019,59000,4491,9570
ET040710,Bora (OR),2020,60475,4389,9707
ET040710,Bora (OR),2021,61987,4099,10387
ET040710,Bora (OR),2022,63537,4107,9887
ET040710,Bora (OR),2023,65125,4977,9703
ET040710,Bora (OR),2024,66753,4189,10001
ET040802,Aseko,2019,213000,15609,35002
ET040802,Aseko,2020,218325,16169,34241
ET040802,Aseko,2021,223783,15701,34694
ET040802,Aseko,2022,229378,16115,37818
ET040802,Aseko,2023,235112,17879,37247
ET040802,Aseko,2024,240990,16030,36649
ET040805,Dodota,2019,112000,7583,18483
ET040805,Dodota,2020,114800,7836,19487
ET040805,Dodota,2021,117670,7970,19814
ET040805,Dodota,2022,120612,7604,19722
ET040805,Dodota,2023,123627,8649,19726
ET040805,Dodota,2024,126718,9842,20548
ET040902,Doba,2019,260000,18034,44694
ET040902,Doba,2020,266500,20523,41078
ET040902,Doba,2021,273162,18863,45162
ET040902,Doba,2022,279992,20120,42818
ET040902,Doba,2023,286991,19756,45366
ET040902,Doba,2024,294166,21531,47731
ET040909,Daro Lebu,2019,240000,15630,39383
ET040909,Daro Lebu,2020,246000,15935,40829
ET040909,Daro Lebu,2021,252150,18986,40102
ET040909,Daro Lebu,2022,258454,18598,41211
ET040909,Daro Lebu,2023,264915,17275,40079
ET040909,Daro Lebu,2024,271538,20579,41670
ET040913,Chiro Zuria,2019,113000,7410,18602
ET040913,Chiro Zuria,2020,115825,8147,18780
ET040913,Chiro Zuria,2021,118721,7728,19932
ET040913,Chiro Zuria,2022,121689,8795,20072
ET040913,Chiro Zuria,2023,124731,9632,20403
ET040913,Chiro Zuria,2024,127849,9174,19007
ET040998,Burqua Dhintu,2019,147000,10787,24031
ET040998,Burqua Dhintu,2020,150675,10787,25055
ET040998,Burqua Dhintu,2021,154442,11370,24942
ET040998,Burqua Dhintu,2022,158303,9838,25901
ET040998,Burqua Dhintu,2023,162260,10124,27137
ET040998,Burqua Dhintu,2024,166317,11670,26746
ET041004,Babile (OR),2019,239000,16164,35944
ET041004,Babile (OR),2020,244975,17843,36673
ET041004,Babile (OR),2021,251099,19090,42446
ET041004,Babile (OR),2022,257377,17403,42829
ET041004,Babile (OR),2023,263811,20230,40194
ET041004,Babile (OR),2024,270407,20645,45754
ET041006,Haro Maya,2019,87000,5425,14194
ET041006,Haro Maya,2020,89175,6889,15060
ET041006,Haro Maya,2021,91404,5681,15241
ET041006,Haro Maya,2022,93689,6491,15318
ET041006,Haro Maya,2023,96032,6085,15581
ET041006,Haro Maya,2024,98433,7486,15765
ET041015,Chinaksen,2019,119000,7540,17782
ET041015,Chinaksen,2020,121975,9036,19323
ET041015,Chinaksen,2021,125024,9291,20033
ET041015,Chinaksen,2022,128150,9249,20519
ET041015,Chinaksen,2023,131354,9563,21430
ET041015,Chinaksen,2024,134638,9497,21035
ET041017,Golo Oda,2019,98000,7585,16477
ET041017,Golo Oda,2020,100450,7293,15126
ET041017,Golo Oda,2021,102961,7335,16947
ET041017,Golo Oda,2022,105535,7393,16329
ET041017,Golo Oda,2023,108174,7339,17874
ET041017,Golo Oda,2024,110878,8522,18603
ET041110,Goba (OR),2019,128000,9875,21627
ET041110,Goba (OR),2020,131200,9193,21760
ET041110,Goba (OR),2021,134480,10018,20676
ET041110,Goba (OR),2022,137842,9309,22982
ET041110,Goba (OR),2023,141288,10476,21820
ET041110,Goba (OR),2024,144820,10555,24346
ET041111,Harena Buluk,2019,119000,9012,19031
ET041111,Harena Buluk,2020,121975,7573,19355
ET041111,Harena Buluk,2021,125024,8582,20402
ET041111,Harena Buluk,2022,128150,8015,20843
ET041111,Harena Buluk,2023,131354,9493,22341
ET041111,Harena Buluk,2024,134638,9506,21357
ET041120,Goba town,2019,186000,14094,28392
ET041120,Goba town,2020,190650,14804,32552
ET041120,Goba town,2021,195416,12195,29818
ET041120,Goba town,2022,200302,13547,32923
ET041120,Goba town,2023,205309,14392,34232
ET041120,Goba town,2024,210442,13650,34374
ET041211,Dire,2019,144000,9370,22500
ET041211,Dire,2020,147600,10118,24497
ET041211,Dire,2021,151290,9825,23897
ET041211,Dire,2022,155072,11885,25571
ET041211,Dire,2023,158949,10411,26300
ET041211,Dire,2024,162923,12124,27475
ET041290,Guchi,2019,74000,5347,11430
ET041290,Guchi,2020,75850,5708,12758
ET041290,Guchi,2021,77746,5434,11944
ET041290,Guchi,2022,79690,5555,12829
ET041290,Guchi,2023,81682,5236,12870
ET041290,Guchi,2024,83724,6228,13615
ET041291,Dubluk,2019,143000,10516,22357
ET041291,Dubluk,2020,146575,11207,23613
ET041291,Dubluk,2021,150239,10965,23123
ET041291,Dubluk,2022,153995,11995,23146
ET041291,Dubluk,2023,157845,11509,26427
ET041291,Dubluk,2024,161791,10428,24182
ET041304,Dawo,2019,76000,5492,11823
ET041304,Dawo,2020,77900,5315,12105
ET041304,Dawo,2021,79848,6085,12828
ET041304,Dawo,2022,81844,5665,12690
ET041304,Dawo,2023,83890,5537,13532
ET041304,Dawo,2024,85987,5756,14765
ET041307,Kersana Malima,2019,65000,4316,9669
ET041307,Kersana Malima,2020,66625,4272,9935
ET041307,Kersana Malima,2021,68291,5074,11149
ET041307,Kersana Malima,2022,69998,4768,11867
ET041307,Kersana Malima,2023,71748,5282,12226
ET041307,Kersana Malima,2024,73542,4923,10969
ET041309,Becho (SW Shewa),2019,156000,11834,24939
ET041309,Becho (SW Shewa),2020,159900,11731,26536
ET041309,Becho (SW Shewa),2021,163898,11461,25119
ET041309,Becho (SW Shewa),2022,167995,10839,25927
ET041309,Becho (SW Shewa),2023,172195,12680,29225
ET041309,Becho (SW Shewa),2024,176500,11871,26814
ET041314,Sodo Daci,2019,64000,4858,10398
ET041314,Sodo Daci,2020,65600,4579,10059
ET041314,Sodo Daci,2021,67240,4427,11315
ET041314,Sodo Daci,2022,68921,4501,11740
ET041314,Sodo Daci,2023,70644,5466,11448
ET041314,Sodo Daci,2024,72410,5052,12299
ET041404,Wadera,2019,126000,8281,20856
ET041404,Wadera,2020,129150,9391,20822
ET041404,Wadera,2021,132379,8316,22534
ET041404,Wadera,2022,135688,9371,21695
ET041404,Wadera,2023,139080,9626,23070
ET041404,Wadera,2024,142557,10480,21550
ET041408,Dama,2019,76000,5418,12427
ET041408,Dama,2020,77900,4981,11686
ET041408,Dama,2021,79848,5266,12296
ET041408,Dama,2022,81844,6274,12498
ET041408,Dama,2023,83890,5409,13864
ET041408,Dama,2024,85987,5802,14584
ET041411,Ana Sora,2019,208000,13731,32478
ET041411,Ana Sora,2020,213200,15558,34261
ET041411,Ana Sora,2021,218530,16587,37511
ET041411,Ana Sora,2022,223993,15568,36860
ET041411,Ana Sora,2023,229593,14300,37474
ET041411,Ana Sora,2024,235333,16729,36108
ET041501,Bule Hore,2019,152000,9468,23271
ET041501,Bule Hore,2020,155800,11764,24990
ET041501,Bule Hore,2021,159695,10152,27274
ET041501,Bule Hore,2022,163687,10705,27262
ET041501,Bule Hore,2023,167780,12706,26131
ET041501,Bule Hore,2024,171974,11559,25561
ET041603,Chora (Buno Bedele),2019,92000,6903,13740
ET041603,Chora (Buno Bedele),2020,94300,6311,15477
ET041603,Chora (Buno Bedele),2021,96657,6302,14649
ET041603,Chora (Buno Bedele),2022,99074,6339,16552
ET041603,Chora (Buno Bedele),2023,101551,7139,16289
ET041603,Chora (Buno Bedele),2024,104090,7714,15462
ET041607,Boreche,2019,158000,11650,24646
ET041607,Boreche,2020,161950,10182,25554
ET041607,Boreche,2021,165999,12114,27264
ET041607,Boreche,2022,170149,12325,25794
ET041607,Boreche,2023,174402,12774,27525
ET041607,Boreche,2024,178762,11541,26831
ET041700,Dodola town,2019,133000,9477,19785
ET041700,Dodola town,2020,136325,8799,21651
ET041700,Dodola town,2021,139733,10067,21975
ET041700,Dodola town,2022,143226,10062,23770
ET041700,Dodola town,2023,146807,9278,25115
ET041700,Dodola town,2024,150477,11607,24037
ET041712,Shashemene,2019,65000,5052,10133
ET041712,Shashemene,2020,66625,5055,10926
ET041712,Shashemene,2021,68291,4700,10563
ET041712,Shashemene,2022,69998,4519,10728
ET041712,Shashemene,2023,71748,5239,11397
ET041712,Shashemene,2024,73542,5229,11375
ET041804,Gawo Kebe,2019,100000,6339,17082
ET041804,Gawo Kebe,2020,102500,7207,16131
ET041804,Gawo Kebe,2021,105062,7115,16033
ET041804,Gawo Kebe,2022,107689,6803,16074
ET041804,Gawo Kebe,2023,110381,8213,18409
ET041804,Gawo Kebe,2024,113141,7455,17902
ET041806,Denbi Dollo town,2019,72000,5107,11122
ET041806,Denbi Dollo town,2020,73800,4933,11442
ET041806,Denbi Dollo town,2021,75645,5420,11870
ET041806,Denbi Dollo town,2022,77536,5954,12150
ET041806,Denbi Dollo town,2023,79475,5049,12451
ET041806,Denbi Dollo town,2024,81461,5418,13573
ET041810,Jimma Horo,2019,135000,9858,22516
ET041810,Jimma Horo,2020,138375,10482,21659
ET041810,Jimma Horo,2021,141834,9485,23472
ET041810,Jimma Horo,2022,145380,9458,22654
ET041810,Jimma Horo,2023,149015,9354,25127
ET041810,Jimma Horo,2024,152740,11747,24289
ET042104,Rayitu,2019,82000,6046,13822
ET042104,Rayitu,2020,84050,5413,13224
ET042104,Rayitu,2021,86151,6039,14786
ET042104,Rayitu,2022,88305,5827,13628
ET042104,Rayitu,2023,90513,5947,14543
ET042104,Rayitu,2024,92775,6820,14385
ET042206,Gumi Idalo,2019,99000,7102,14665
ET042206,Gumi Idalo,2020,101475,7400,15518
ET042206,Gumi Idalo,2021,104012,6501,16128
ET042206,Gumi Idalo,2022,106612,8076,17408
ET042206,Gumi Idalo,2023,109277,8491,16747
ET042206,Gumi Idalo,2024,112009,6997,18075
