zone_pcode,date,n_pixels,rain_mm,rain_lta_mm,rain_anom_pct
ET0401,2019-01-01,793,3.6,5.4,67.2
ET0401,2019-02-01,793,9.5,8,118.6
ET0401,2019-03-01,793,29.9,31.7,94.3
ET0401,2019-04-01,793,100.3,77.1,130.1
ET0401,2019-05-01,793,152.7,223.9,68.2
ET0401,2019-06-01,793,300.1,256.1,117.2
ET0401,2019-07-01,793,274.9,250.6,109.7
ET0401,2019-08-01,793,311,266.4,116.7
ET0401,2019-09-01,793,276,244.9,112.7
ET0401,2019-10-01,793,202.7,128.8,157.4
ET0401,2019-11-01,793,66.2,34.3,193
ET0401,2019-12-01,793,19.5,7.3,265.8
ET0401,2020-01-01,793,4,5.4,74.6
ET0401,2020-02-01,793,5.8,8,72.4
ET0401,2020-03-01,793,32.6,31.7,102.9
ET0401,2020-04-01,793,95.8,77.1,124.2
ET0401,2020-05-01,793,224.3,223.9,100.1
ET0401,2020-06-01,793,217.4,256.1,84.9
ET0401,2020-07-01,793,282.3,250.6,112.6
ET0401,2020-08-01,793,323.7,266.4,121.5
ET0401,2020-09-01,793,287.9,244.9,117.6
ET0401,2020-10-01,793,130.3,128.8,101.1
ET0401,2020-11-01,793,19,34.3,55.4
ET0401,2020-12-01,793,8.6,7.3,117.3
ET0401,2021-01-01,793,6.9,5.4,128.1
ET0401,2021-02-01,793,6.4,8,79.5
ET0401,2021-03-01,793,44.2,31.7,139.5
ET0401,2021-04-01,793,88.7,77.1,115
ET0401,2021-05-01,793,225,223.9,100.5
ET0401,2021-06-01,793,318.1,256.1,124.2
ET0401,2021-07-01,793,245.3,250.6,97.9
ET0401,2021-08-01,793,245.3,266.4,92.1
ET0401,2021-09-01,793,289,244.9,118
ET0401,2021-10-01,793,132.6,128.8,102.9
ET0401,2021-11-01,793,54,34.3,157.4
ET0401,2021-12-01,793,14.8,7.3,202.3
ET0401,2022-01-01,793,7.9,5.4,145.6
ET0401,2022-02-01,793,6,8,75.1
ET0401,2022-03-01,793,20.1,31.7,63.4
